,time,Nederbördsmängd
0,2020-01-17:01,0.0
1,2020-01-17:02,0.0
2,2020-01-17:03,0.0
3,2020-01-17:04,0.0
4,2020-01-17:05,0.0
5,2020-01-17:06,0.0
6,2020-01-17:07,0.0
7,2020-01-17:08,0.0
8,2020-01-17:09,0.0
9,2020-01-17:10,0.0
10,2020-01-17:11,0.0
11,2020-01-17:12,0.0
12,2020-01-17:13,0.0
13,2020-01-17:14,0.0
14,2020-01-17:15,0.0
15,2020-01-17:16,0.0
16,2020-01-17:17,0.0
17,2020-01-17:18,0.0
18,2020-01-17:19,0.0
19,2020-01-17:20,0.0
20,2020-01-17:21,0.0
21,2020-01-17:22,0.0
22,2020-01-17:23,0.0
23,2020-01-18:00,0.0
24,2020-01-18:01,0.0
25,2020-01-18:02,0.0
26,2020-01-18:03,0.0
27,2020-01-18:04,0.3
28,2020-01-18:05,0.0
29,2020-01-18:06,0.0
30,2020-01-18:07,0.0
31,2020-01-18:08,0.0
32,2020-01-18:09,0.0
33,2020-01-18:10,0.0
34,2020-01-18:11,0.0
35,2020-01-18:12,0.0
36,2020-01-18:13,0.0
37,2020-01-18:14,0.0
38,2020-01-18:15,0.0
39,2020-01-18:16,0.0
40,2020-01-18:17,0.0
41,2020-01-18:18,0.0
42,2020-01-18:19,0.0
43,2020-01-18:20,0.0
44,2020-01-18:21,0.0
45,2020-01-18:22,0.0
46,2020-01-18:23,0.0
47,2020-01-19:00,0.0
48,2020-01-19:01,0.0
49,2020-01-19:02,0.0
50,2020-01-19:03,0.0
51,2020-01-19:04,0.0
52,2020-01-19:05,0.0
53,2020-01-19:06,0.0
54,2020-01-19:07,0.0
55,2020-01-19:08,0.0
56,2020-01-19:09,0.0
57,2020-01-19:10,0.0
58,2020-01-19:11,0.0
59,2020-01-19:12,0.0
60,2020-01-19:13,0.0
61,2020-01-19:14,0.0
62,2020-01-19:15,0.0
63,2020-01-19:16,0.0
64,2020-01-19:17,0.0
65,2020-01-19:18,0.0
66,2020-01-19:19,0.0
67,2020-01-19:20,0.0
68,2020-01-19:21,0.0
69,2020-01-19:22,0.0
70,2020-01-19:23,0.0
71,2020-01-20:00,0.0
72,2020-01-20:01,0.0
73,2020-01-20:02,0.0
74,2020-01-20:03,0.0
75,2020-01-20:04,0.0
76,2020-01-20:05,0.0
77,2020-01-20:06,0.0
78,2020-01-20:07,0.0
79,2020-01-20:08,0.0
80,2020-01-20:09,0.0
81,2020-01-20:10,0.0
82,2020-01-20:11,0.0
83,2020-01-20:12,0.0
84,2020-01-20:13,0.0
85,2020-01-20:14,0.0
86,2020-01-20:15,0.0
87,2020-01-20:16,0.0
88,2020-01-20:17,0.0
89,2020-01-20:18,0.0
90,2020-01-20:19,0.0
91,2020-01-20:20,0.0
92,2020-01-20:21,0.0
93,2020-01-20:22,0.0
94,2020-01-20:23,0.0
95,2020-01-21:00,0.0
96,2020-01-21:01,0.0
97,2020-01-21:02,0.0
98,2020-01-21:03,0.0
99,2020-01-21:04,0.0
100,2020-01-21:05,0.0
101,2020-01-21:06,0.0
102,2020-01-21:07,0.0
103,2020-01-21:08,0.0
104,2020-01-21:09,0.0
105,2020-01-21:10,0.0
106,2020-01-21:11,0.0
107,2020-01-21:12,0.0
108,2020-01-21:13,0.0
109,2020-01-21:14,0.0
110,2020-01-21:15,0.0
111,2020-01-21:16,0.0
112,2020-01-21:17,0.0
113,2020-01-21:18,0.0
114,2020-01-21:19,0.0
115,2020-01-21:20,0.0
116,2020-01-21:21,0.0
117,2020-01-21:22,0.0
118,2020-01-21:23,0.0
119,2020-01-22:00,0.0
120,2020-01-22:01,0.0
121,2020-01-22:02,0.0
122,2020-01-22:03,0.0
123,2020-01-22:04,0.0
124,2020-01-22:05,0.0
125,2020-01-22:06,0.0
126,2020-01-22:07,0.0
127,2020-01-22:08,0.0
128,2020-01-22:09,0.0
129,2020-01-22:10,0.0
130,2020-01-22:11,0.0
131,2020-01-22:12,0.0
132,2020-01-22:13,0.0
133,2020-01-22:14,0.0
134,2020-01-22:15,0.0
135,2020-01-22:16,0.0
136,2020-01-22:17,0.0
137,2020-01-22:18,0.0
138,2020-01-22:19,0.0
139,2020-01-22:20,0.0
140,2020-01-22:21,0.0
141,2020-01-22:22,0.0
142,2020-01-22:23,0.0
143,2020-01-23:00,0.0
144,2020-01-23:01,0.0
145,2020-01-23:02,0.0
146,2020-01-23:03,0.0
147,2020-01-23:04,0.0
148,2020-01-23:05,0.0
149,2020-01-23:06,0.0
150,2020-01-23:07,0.0
151,2020-01-23:08,0.0
152,2020-01-23:09,0.0
153,2020-01-23:10,0.0
154,2020-01-23:11,0.0
